AirQualityStation,UnitOfMeasurement,mean
STA.DE_DEBW073,µg/m3,17.827898546000004
STA.DE_DESN093,µg/m3,19.63714285392857
STA.DE_DEBW019,µg/m3,19.464975841666668
STA.DE_DENI068,µg/m3,24.85268019433333
STA.DE_DEBB068,µg/m3,30.06484935080345
STA.DE_DENW068,µg/m3,20.346666664666667
STA.DE_DENW179,µg/m3,20.551160685050217
STA.DE_DENI048,µg/m3,22.13102839086505
STA.DE_DENI059,µg/m3,16.58909344642732
STA.DE_DENW101,µg/m3,23.11682420430836
STA.DE_DENI060,µg/m3,17.078639121621233
STA.DE_DENW062,µg/m3,18.44414388152518
STA.DE_DEHB011,µg/m3,24.912826395222385
STA.DE_DEMV020,µg/m3,27.718999997666668
STA.DE_DENW200,µg/m3,26.237035915775863
STA.DE_DENW189,µg/m3,22.63379597354885
STA.DE_DENI053,µg/m3,20.72972935425287
STA.DE_DEBB054,µg/m3,28.082352937274035
STA.DE_DETH013,µg/m3,20.62013801061782
STA.DE_DETH083,µg/m3,25.089005911664277
STA.DE_DEST089,µg/m3,15.522466506916428
STA.DE_DEST090,µg/m3,21.9706131387482
STA.DE_DEBW084,µg/m3,16.24250720110951
STA.DE_DEHE008,µg/m3,20.014999996
STA.DE_DENI068,µg/m3,22.13289931667145
STA.DE_DEBB066,µg/m3,23.55767574934003
STA.DE_DEHH079,µg/m3,24.77229808773862
STA.DE_DEBW142,µg/m3,25.36775362
STA.DE_DEBW038,µg/m3,18.805603444841957
STA.DE_DEMV022,µg/m3,30.402976186889884
STA.DE_DENW008,µg/m3,19.088964114898594
STA.DE_DEST104,µg/m3,18.23298721383582
STA.DE_DEST092,µg/m3,23.33977445
STA.DE_DEST102,µg/m3,25.068570683666668
STA.DE_DENW131,µg/m3,24.306666663
STA.DE_DEBW039,µg/m3,17.90474819781295
STA.DE_DENW338,µg/m3,25.16999999633333
STA.DE_DEBW029,µg/m3,19.65021520427547
STA.DE_DEBY111,µg/m3,22.05240136628125
STA.DE_DEHB006,µg/m3,26.65747488890961
STA.DE_DEBE063,µg/m3,31.03489239262554
STA.DE_DENW030,µg/m3,20.433034880988373
STA.DE_DENW029,µg/m3,16.525807190705038
STA.DE_DEHE061,µg/m3,24.895409143787663
STA.DE_DEUB001,µg/m3,20.903270955
STA.DE_DENI157,µg/m3,20.07567998381295
STA.DE_DEBW076,µg/m3,14.838768111
STA.DE_DEBB045,µg/m3,28.915208030860835
STA.DE_DEBW033,µg/m3,20.820689650833334
STA.DE_DESN075,µg/m3,21.320044472596845
STA.DE_DEHE008,µg/m3,21.136584897101866
STA.DE_DERP023,µg/m3,20.09999999733333
